path,classification,commit,reason,files_covered
.github/workflows/tests.yml,source code,3,"Portfolio presentation, release checks or repository hygiene",1
data/README.md,documentation/screenshot,3,"Portfolio presentation, release checks or repository hygiene",1
data/cache/qualifying_2023.csv,required production/runtime asset,1,Reviewed offline seed and metadata; intentional exception to disposable cache exclusion,1
data/cache/qualifying_2023.csv.meta.json,required production/runtime asset,1,Reviewed offline seed and metadata; intentional exception to disposable cache exclusion,1
data/cache/qualifying_2024.csv,required production/runtime asset,1,Reviewed offline seed and metadata; intentional exception to disposable cache exclusion,1
data/cache/qualifying_2024.csv.meta.json,required production/runtime asset,1,Reviewed offline seed and metadata; intentional exception to disposable cache exclusion,1
data/cache/qualifying_2025.csv,required production/runtime asset,1,Reviewed offline seed and metadata; intentional exception to disposable cache exclusion,1
data/cache/qualifying_2025.csv.meta.json,required production/runtime asset,1,Reviewed offline seed and metadata; intentional exception to disposable cache exclusion,1
data/cache/qualifying_2026.csv,required production/runtime asset,1,Reviewed offline seed and metadata; intentional exception to disposable cache exclusion,1
data/cache/qualifying_2026.csv.meta.json,required production/runtime asset,1,Reviewed offline seed and metadata; intentional exception to disposable cache exclusion,1
data/cache/results_2023.csv,required production/runtime asset,1,Reviewed offline seed and metadata; intentional exception to disposable cache exclusion,1
data/cache/results_2023.csv.meta.json,required production/runtime asset,1,Reviewed offline seed and metadata; intentional exception to disposable cache exclusion,1
data/cache/results_2024.csv,required production/runtime asset,1,Reviewed offline seed and metadata; intentional exception to disposable cache exclusion,1
data/cache/results_2024.csv.meta.json,required production/runtime asset,1,Reviewed offline seed and metadata; intentional exception to disposable cache exclusion,1
data/cache/results_2025.csv,required production/runtime asset,1,Reviewed offline seed and metadata; intentional exception to disposable cache exclusion,1
data/cache/results_2025.csv.meta.json,required production/runtime asset,1,Reviewed offline seed and metadata; intentional exception to disposable cache exclusion,1
data/cache/results_2026.csv,required production/runtime asset,1,Reviewed offline seed and metadata; intentional exception to disposable cache exclusion,1
data/cache/results_2026.csv.meta.json,required production/runtime asset,1,Reviewed offline seed and metadata; intentional exception to disposable cache exclusion,1
data/cache/schedule_2023.csv,required production/runtime asset,1,Reviewed offline seed and metadata; intentional exception to disposable cache exclusion,1
data/cache/schedule_2023.csv.meta.json,required production/runtime asset,1,Reviewed offline seed and metadata; intentional exception to disposable cache exclusion,1
data/cache/schedule_2024.csv,required production/runtime asset,1,Reviewed offline seed and metadata; intentional exception to disposable cache exclusion,1
data/cache/schedule_2024.csv.meta.json,required production/runtime asset,1,Reviewed offline seed and metadata; intentional exception to disposable cache exclusion,1
data/cache/schedule_2025.csv,required production/runtime asset,1,Reviewed offline seed and metadata; intentional exception to disposable cache exclusion,1
data/cache/schedule_2025.csv.meta.json,required production/runtime asset,1,Reviewed offline seed and metadata; intentional exception to disposable cache exclusion,1
data/cache/schedule_2026.csv,required production/runtime asset,1,Reviewed offline seed and metadata; intentional exception to disposable cache exclusion,1
data/cache/schedule_2026.csv.meta.json,required production/runtime asset,1,Reviewed offline seed and metadata; intentional exception to disposable cache exclusion,1
data/cache/sprint_2023.csv,required production/runtime asset,1,Reviewed offline seed and metadata; intentional exception to disposable cache exclusion,1
data/cache/sprint_2023.csv.meta.json,required production/runtime asset,1,Reviewed offline seed and metadata; intentional exception to disposable cache exclusion,1
data/cache/sprint_2024.csv,required production/runtime asset,1,Reviewed offline seed and metadata; intentional exception to disposable cache exclusion,1
data/cache/sprint_2024.csv.meta.json,required production/runtime asset,1,Reviewed offline seed and metadata; intentional exception to disposable cache exclusion,1
data/cache/sprint_2025.csv,required production/runtime asset,1,Reviewed offline seed and metadata; intentional exception to disposable cache exclusion,1
data/cache/sprint_2025.csv.meta.json,required production/runtime asset,1,Reviewed offline seed and metadata; intentional exception to disposable cache exclusion,1
data/cache/sprint_2026.csv,required production/runtime asset,1,Reviewed offline seed and metadata; intentional exception to disposable cache exclusion,1
data/cache/sprint_2026.csv.meta.json,required production/runtime asset,1,Reviewed offline seed and metadata; intentional exception to disposable cache exclusion,1
data/cache/verified_fantasy_market.json,required production/runtime asset,1,Reviewed offline seed and metadata; intentional exception to disposable cache exclusion,1
data/generated/historical_fantasy_scores_v2_recorded_2022_2026/approximation_vs_recorded_largest_discrepancies.csv,canonical/reproducibility data,1,"Canonical/source data, calibration lineage or retained scientific evidence (including source licences)",1
data/generated/historical_fantasy_scores_v2_recorded_2022_2026/approximation_vs_recorded_summary.csv,canonical/reproducibility data,1,"Canonical/source data, calibration lineage or retained scientific evidence (including source licences)",1
